
Load Training Dataset ...
The number of training data is: 4500

Model Initial ...
Do not use pretrain model!
PARAMETER ...
Namespace(amp=True, angRes=5, batch_size=1, channels=64, data_name='HCI_new', decay_rate=0, epoch=50, gamma=0.5, global_batch_size=8, local_rank=0, lr=0.0002, model_name='LFT', n_steps=15, num_workers=4, patch_size_for_test=32, path_for_test='./data/LFSR_processed_rgb/data_for_test/', path_for_train='./data/LFSR_processed_y/data_for_train/', path_log='./log/', path_pre_pth='./pth/LFT_5x5_4x_epoch_50_model.pth', scale_factor=2, stride_for_test=16, use_pre_pth=False)
training with fp16 mode.

Start training...

Epoch 1 /50:
Train - loss: 0.00368, ssim: 40.42259, psnr: 0.98076
Train - loss: 0.00262, ssim: 42.61857, psnr: 0.99115
Train - loss: 0.00424, ssim: 36.85359, psnr: 0.97783
Train - loss: 0.00466, ssim: 37.99108, psnr: 0.96408
Train - loss: 0.00348, ssim: 40.26177, psnr: 0.98424
Train - loss: 0.00966, ssim: 31.86497, psnr: 0.91338
Train - loss: 0.00555, ssim: 36.24682, psnr: 0.96817
Train - loss: 0.00525, ssim: 36.91530, psnr: 0.97404
Train - loss: 0.00318, ssim: 41.09320, psnr: 0.98865
Train - loss: 0.00903, ssim: 32.82522, psnr: 0.92142
Train - loss: 0.00370, ssim: 38.59063, psnr: 0.98873
Train - loss: 0.01153, ssim: 30.09335, psnr: 0.86326
Train - loss: 0.00171, ssim: 46.63456, psnr: 0.99491
Train - loss: 0.00600, ssim: 33.28822, psnr: 0.95841
The 5th Train, loss is: 0.00488, psnr is 38.69606, ssim is 0.96947
Saving the epoch_05 model at log/SR_5x5_2x/LFT/HCI_new/checkpoints/LFT_5x5_2x_epoch_05_model.pth

Epoch 6 /50:
Train - loss: 0.00295, ssim: 40.70934, psnr: 0.98919
Train - loss: 0.00480, ssim: 36.95759, psnr: 0.98723
Train - loss: 0.00397, ssim: 38.71966, psnr: 0.97986
